Name                       Version                     Rev    Tracking         Publisher     Notes
bare                       1.0                         5      latest/stable    canonical**   base
core18                     20250123                    2855   latest/stable    canonical**   base
core20                     20250429                    2582   latest/stable    canonical**   base
core22                     20250425                    1981   latest/stable    canonical**   base
core24                     20250504                    988    latest/stable    canonical**   base
firefox                    138.0.4-1                   6198   latest/stable/…  mozilla**     -
firmware-updater           0+git.22198be               167    1/stable/…       canonical**   -
gnome-3-28-1804            3.28.0-19-g98f9e67.98f9e67  198    latest/stable    canonical**   -
gnome-3-38-2004            0+git.efb213a               143    latest/stable    canonical**   -
gnome-42-2204              0+git.38ea591               202    latest/stable/…  canonical**   -
gtk-common-themes          0.1-81-g442e511             1535   latest/stable/…  canonical**   -
nmap                       7.95                        3885   latest/stable    maxiberta*    -
rocketchat-desktop         4.3.3                       696    latest/stable    rocketchat**  -
snap-store                 0+git.90575829              1270   2/stable/…       canonical**   -
snapd                      2.68.4                      24505  latest/stable    canonical**   snapd
snapd-desktop-integration  0.9                         253    latest/stable/…  canonical**   -
speedtest                  1.2.0                       9      latest/stable    aoilinux      -
spotify                    1.2.60.564.gcc6305cb        87     latest/stable    spotify**     -
